0,0
10000,218
20000,454
30000,679
40000,892
50000,1200
60000,1505
70000,1565
80000,2006
90000,1933
100000,2163
110000,2342
120000,2461
130000,2614
140000,2634
150000,3044
160000,3703
170000,4071
180000,4261
190000,4398
200000,4689
210000,4965
220000,5151
230000,5313
240000,5790
250000,6060
260000,6324
270000,6808
280000,7331
290000,7514
300000,7865
310000,8027
320000,8234
330000,8548
340000,9237
350000,9900
360000,10482
370000,10840
380000,11016
390000,11202
400000,11356
410000,11633
420000,11925
430000,12092
440000,12325
450000,12585
460000,12777
470000,13078
480000,13374
490000,13352
500000,13608
510000,13734
520000,14177
530000,14627
540000,14575
550000,14689
560000,14902
570000,14956
580000,15213
590000,15519
600000,15903
610000,16238
620000,16421
630000,16614
640000,16886
650000,17081
660000,17291
670000,17662
680000,17944
690000,18083
700000,18431
710000,18500
720000,18672
730000,18780
740000,18873
750000,19015
760000,19023
770000,18917
780000,19177
790000,19619
800000,19810
810000,20208
820000,20570
830000,20749
840000,20913
850000,21282
860000,21556
870000,21700
880000,21808
890000,22008
900000,22272
910000,22576
920000,22847
930000,22983
940000,23308
950000,23408
960000,23700
970000,23938
980000,24098
990000,24458
1000000,24596
1010000,24891
1020000,25279
1030000,25535
1040000,25562
1050000,25726
1060000,26031
1070000,26370
1080000,26861
1090000,27072
1100000,27360
1110000,27668
1120000,27920
1130000,27923
1140000,28056
1150000,28254
1160000,28427
1170000,28786
1180000,28984
1190000,29128
1200000,29314
1210000,29545
1220000,29690
1230000,30183
1240000,30453
1250000,30685
1260000,30943
1270000,30936
1280000,31079
1290000,31329
1300000,31602
1310000,31845
1320000,31815
1330000,32000
1340000,32352
1350000,32502
1360000,32723
1370000,33078
1380000,33279
1390000,33485
1400000,33666
1410000,33855
1420000,34052
1430000,34253
1440000,34582
1450000,34570
1460000,34771
1470000,34880
1480000,34931
1490000,34920
1500000,34809
1510000,34948
1520000,34851
1530000,34926
1540000,34660
1550000,34413
1560000,34200
1570000,34136
1580000,33818
1590000,33573
1600000,33806
1610000,34145
1620000,34144
1630000,33982
1640000,33945
1650000,33879
1660000,33718
1670000,33581
1680000,33273
1690000,32774
1700000,32490
1710000,32282
1720000,32040
1730000,31853
1740000,31543
1750000,31174
1760000,31145
1770000,30840
1780000,30437
1790000,30287
1800000,30133
1810000,30075
1820000,29764
1830000,29406
1840000,29167
1850000,28846
1860000,28771
1870000,28882
1880000,28746
1890000,28596
1900000,28387
1910000,28298
1920000,27899
1930000,27799
1940000,27625
1950000,27297
1960000,26951
1970000,26608
1980000,26264
1990000,26372
2000000,26168
2010000,26026
2020000,25669
2030000,25571
2040000,25161
2050000,24792
2060000,24517
2070000,24222
2080000,24270
2090000,24328
2100000,24136
2110000,23985
2120000,23379
2130000,22933
2140000,22836
2150000,22838
2160000,22452
2170000,22269
2180000,22134
2190000,21644
2200000,21162
2210000,20734
2220000,20392
2230000,20144
2240000,20056
2250000,20120
2260000,19501
2270000,19310
2280000,19009
2290000,18671
2300000,18467
2310000,18210
2320000,18022
2330000,17860
2340000,17458
2350000,17254
2360000,17015
2370000,16694
2380000,16062
2390000,15766
2400000,15442
2410000,15239
2420000,15052
2430000,14715
2440000,14581
2450000,14412
2460000,14090
2470000,13783
2480000,13580
2490000,13271
2500000,13024
2510000,12490
2520000,12269
2530000,11983
2540000,11772
2550000,11562
2560000,11447
2570000,11127
2580000,11050
2590000,10691
2600000,10375
2610000,10007
2620000,9809
2630000,9681
2640000,9347
2650000,8925
2660000,8939
2670000,8796
2680000,8742
2690000,8674
2700000,8278
2710000,7921
2720000,7718
2730000,7490
2740000,7300
2750000,7021
2760000,6727
2770000,6339
2780000,6159
2790000,5989
2800000,5338
2810000,5015
2820000,4863
2830000,4484
2840000,4432
2850000,3974
2860000,3919
2870000,3749
2880000,3745
2890000,3623
2900000,3513
2910000,3083
2920000,3002
2930000,2793
2940000,2717
2950000,2542
2960000,2226
2970000,1676
2980000,1158
2990000,994
3000000,854
3010000,563
3020000,190
3030000,6
3040000,-173
3050000,-422
3060000,-755
3070000,-929
3080000,-1018
3090000,-1357
3100000,-1760
3110000,-1995
3120000,-2279
3130000,-2645
3140000,-2669
3150000,-2683
3160000,-3089
3170000,-3351
3180000,-3665
3190000,-3822
3200000,-3978
3210000,-4042
3220000,-4201
3230000,-3981
3240000,-4253
3250000,-4383
3260000,-4719
3270000,-4947
3280000,-5022
3290000,-5365
3300000,-5576
3310000,-5665
3320000,-5962
3330000,-6146
3340000,-6310
3350000,-6267
3360000,-6654
3370000,-7036
3380000,-7076
3390000,-7130
3400000,-7367
3410000,-7799
3420000,-8164
3430000,-8559
3440000,-8542
3450000,-8791
3460000,-8971
3470000,-9153
3480000,-9414
3490000,-9719
3500000,-10000
3510000,-9878
3520000,-10168
3530000,-10354
3540000,-10717
3550000,-10944
3560000,-11087
3570000,-11335
3580000,-11391
3590000,-11727
3600000,-11885
3610000,-12141
3620000,-12312
3630000,-12063
3640000,-11683
3650000,-11224
3660000,-11617
3670000,-11909
